frame_id,class_id,track_id,velocity,coordinate_world_x_opt,coordinate_world_y_opt,coordinate_world_x,coordinate_world_y
2,car,1,0.0,678176.9238710667,5405295.333292335,678177.0813586742,5405295.467942179
2,car,2,0.0,678162.1720002317,5405325.142573633,678162.7568041077,5405326.57592636
2,car,3,0.0,678163.7489066955,5405289.777013745,678163.8640422655,5405289.988533391
2,car,4,0.0,678191.5384216774,5405324.353966821,678193.1063334784,5405325.421317446
2,car,5,0.0,678164.6073333407,5405303.289424494,678165.2010381324,5405303.774267375
2,car,6,0.0,678181.7913106442,5405310.536909556,678182.600566883,5405311.211995646
2,car,7,0.0,678178.1716195792,5405326.665441131,678179.10990705,5405327.474798928
2,car,8,0.0,678167.3137222107,5405347.70886917,678167.7313372369,5405349.176285322
3,car,1,0.0,678177.2461982456,5405295.444194324,678177.4627242301,5405295.618447252
3,car,2,0.0,678162.1583975084,5405325.086678004,678162.7756061025,5405326.53906928
3,car,3,0.0,678164.0577352971,5405289.922562703,678164.1803851345,5405290.091811957
3,car,4,0.0,678191.2438394057,5405324.313817365,678192.848824492,5405325.392389439
3,car,5,0.0,678164.1970677404,5405303.102846228,678164.7126112622,5405303.563929855
3,car,6,0.0,678181.2986109061,5405310.360579618,678182.0892933046,5405311.022094497
3,car,7,0.0,678177.9286324738,5405326.721303916,678178.8597186338,5405327.529378458
3,car,8,0.0,678167.2736807894,5405348.016697772,678167.6660062622,5405349.566606137
4,car,1,0.0,678177.645310763,5405295.620759714,678177.8320648677,5405295.801174442
4,car,2,0.0,678162.1671331702,5405325.071095852,678162.7433473074,5405326.434626268
4,car,3,0.0,678164.378498999,5405290.007956224,678164.5395070896,5405290.221782912
4,car,4,0.0,678190.9469341228,5405324.320569004,678192.5725556704,5405325.409493899
4,car,5,0.0,678163.6799997407,5405302.9317067815,678164.2306655411,5405303.356383396
4,car,6,0.0,678180.829375787,5405310.149884183,678181.6733922192,5405310.853049329
4,car,7,0.0,678177.632737838,5405326.834919076,678178.6659368281,5405327.704829549
4,car,8,0.0,678167.2490270061,5405348.43371694,678167.6898454743,5405350.019103885
5,car,1,0.0,678177.9890502864,5405295.764198348,678178.205095055,5405295.985726996
5,car,2,0.0,678162.1804274053,5405325.035256162,678162.7621294869,5405326.39782485
5,car,3,0.0,678164.6775900522,5405290.10883688,678164.848094643,5405290.352425968
5,car,4,0.0,678190.7510547885,5405324.359512619,678192.2390214895,5405325.251907534
5,car,5,0.0,678163.1108255163,5405302.663413566,678163.6956249855,5405303.141876462
5,car,6,0.0,678180.3938620291,5405309.946220738,678181.1899206655,5405310.630090915
5,car,7,0.0,678177.4925705836,5405327.013328445,678178.3774763563,5405327.843584047
6,car,1,0.0,678177.5807420937,5405295.5916606095,678178.5977047231,5405296.141035634
6,car,2,0.0,678162.0443969697,5405325.933687611,678162.7809078991,5405326.361030812
6,car,3,0.0,678164.2312470292,5405289.957918823,678165.2145123287,5405290.485140254
6,car,4,0.0,678191.3614717113,5405324.415731275,678191.9849721683,5405325.223507017
6,car,5,0.0,678163.4539435001,5405302.831989266,678163.2269731981,5405302.939950872
6,car,6,0.0,678180.849579399,5405310.163603393,678180.7117349688,5405310.409570134
6,car,7,0.0,678177.9080846107,5405326.789094308,678178.1841996966,5405328.018623108
7,car,1,42.86999711229002,678177.951972574,5405295.769913411,678178.9172679299,5405296.292457478
7,car,2,4.91780888189833,678162.0075454207,5405325.799872837,678162.7299207726,5405326.29364397
7,car,3,35.5303869290028,678164.5018105963,5405290.039323778,678165.4473248766,5405290.565637122
7,car,4,29.445680392442924,678191.075013514,5405324.395199691,678191.519231929,5405325.076086991
7,car,5,56.52020452375438,678162.9838889637,5405302.615977113,678162.7064582835,5405302.731368303
7,car,6,51.37930290036824,678180.5620338961,5405310.080198288,678180.308400789,5405310.245868698
7,car,7,27.550108121757745,678177.6072423703,5405326.821269508,678177.9363383746,5405328.072167688
8,car,1,44.12266001561338,678178.3334267519,5405295.899026252,678179.3787283261,5405296.487725545
8,car,2,4.582976194837522,678161.99315614,5405325.7701036595,678162.7486831781,5405326.256898056
8,car,3,35.24804220780518,678164.8018987329,5405290.166986774,678165.8202805741,5405290.700698484
8,car,4,27.443538350500045,678190.8809692494,5405324.4070661105,678191.2680870251,5405325.0481939865
8,car,5,57.773117719434936,678162.5359721028,5405302.407757295,678162.2505595639,5405302.5348363
8,car,6,52.61543061064337,678180.0190049333,5405309.843831319,678179.8221077662,5405310.065855327
8,car,7,26.433157562480222,678177.3675382781,5405326.800697641,678177.7238411203,5405328.289069405
8,car,10,0.0,678197.1895138837,5405318.387377116,678196.3585065689,5405317.8369584605
9,car,1,44.73315425579029,678178.7326578429,5405296.092680477,678179.7831354302,5405296.6478897305
9,car,2,5.008555053572264,678162.0117345597,5405325.734052015,678162.7674418245,5405326.220159504
9,car,3,35.98645285009936,678165.1447539206,5405290.291918935,678166.113401368,5405290.783671246
9,car,4,28.13261092944349,678190.5273354435,5405324.309479781,678191.0179033297,5405325.020407737
9,car,5,57.599389700911445,678162.0249771143,5405302.211634958,678161.7029971073,5405302.294922326
9,car,6,53.07458922396834,678179.5291361298,5405309.631925416,678179.3585072034,5405309.851702358
9,car,7,25.91876167573642,678177.1034796588,5405326.986980585,678177.4376178945,5405328.426575923
9,car,10,46.03313050334863,678196.8124475102,5405318.230119215,678195.9374352902,5405317.589151257
10,car,1,44.99057835920647,678179.0883257317,5405296.249474406,678180.1125799855,5405296.803760731
10,car,2,4.0552008890275655,678162.0515348463,5405325.760046457,678162.7861967131,5405326.183428311
