frame_id,class_id,track_id,velocity,coordinate_world_x_opt,coordinate_world_y_opt,coordinate_world_x,coordinate_world_y
2,cyclist,1,0.0,678189.6660788733,5405295.821646344,678190.7996473511,5405296.446292059
2,car,2,0.0,678174.6143375156,5405310.677666137,678175.4815198706,5405311.384951279
2,car,3,0.0,678143.074192989,5405298.180352608,678143.4173147128,5405298.622134592
2,car,4,0.0,678159.353581965,5405322.758451836,678159.7295380024,5405323.85891571
2,car,5,0.0,678162.235082377,5405325.302105726,678162.6869781546,5405326.545074835
2,car,6,0.0,678158.1281076221,5405328.9437845815,678158.692122722,5405330.380807088
2,car,7,0.0,678157.6723163576,5405294.34637781,678157.9146897004,5405294.734741405
2,car,8,0.0,678163.5195167065,5405297.330310068,678163.6532373622,5405297.543385062
2,car,9,0.0,678170.156234089,5405300.977944705,678170.2507832455,5405300.932422777
2,car,10,0.0,678187.1034010137,5405303.695996341,678186.9214179333,5405303.593527469
2,car,11,0.0,678168.2261982709,5405343.043824622,678168.8260593524,5405344.6272725025
3,cyclist,1,0.0,678189.6660788733,5405295.821646344,678190.7996473511,5405296.446292059
3,car,2,0.0,678174.0528701434,5405310.424814211,678174.911513266,5405311.0984724015
3,car,3,0.0,678142.6520904575,5405298.048689542,678143.0029057662,5405298.515662684
3,car,4,0.0,678159.353581965,5405322.758451836,678159.7113001876,5405323.893837639
3,car,5,0.0,678162.235082377,5405325.302105726,678162.6869781546,5405326.545074835
3,car,6,0.0,678158.1281076221,5405328.9437845815,678158.692122722,5405330.380807088
3,car,7,0.0,678157.6723163576,5405294.34637781,678157.9146897004,5405294.734741405
3,car,8,0.0,678163.5195167065,5405297.330310068,678163.6532373622,5405297.543385062
3,car,9,0.0,678170.156234089,5405300.977944705,678170.2507832455,5405300.932422777
3,car,10,0.0,678187.591175817,5405303.931704502,678187.4968725907,5405303.86290368
3,car,11,0.0,678168.1842907529,5405343.36186842,678168.6969873304,5405344.901624168
4,cyclist,1,0.0,678189.6660788733,5405295.821646344,678190.7996473511,5405296.446292059
4,car,2,0.0,678173.6216491413,5405310.257427931,678174.471753298,5405310.921140753
4,car,3,0.0,678142.244144938,5405297.899127174,678142.5537478591,5405298.358708553
4,car,4,0.0,678159.353581965,5405322.758451836,678159.7113001876,5405323.893837639
4,car,5,0.0,678162.2253783359,5405325.322904487,678162.6869781546,5405326.545074835
4,car,6,0.0,678158.1281076221,5405328.9437845815,678158.692122722,5405330.380807088
4,car,7,0.0,678157.6723163576,5405294.34637781,678157.9146897004,5405294.734741405
4,car,8,0.0,678163.5761443239,5405297.339638781,678163.6532373622,5405297.543385062
4,car,9,0.0,678170.156234089,5405300.977944705,678170.2507832455,5405300.932422777
4,car,10,0.0,678188.0880970804,5405304.174994232,678188.0011266962,5405304.086187812
4,car,11,0.0,678168.0783444114,5405343.584313076,678168.6561806677,5405345.231127892
5,cyclist,1,0.0,678189.6660788733,5405295.821646344,678190.7996473511,5405296.446292059
5,car,2,0.0,678173.1447071217,5405310.045024607,678174.0364581444,5405310.745609525
5,car,3,0.0,678141.8401348782,5405297.760740768,678142.1048465587,5405298.157585215
5,car,4,0.0,678159.353581965,5405322.758451836,678159.7113001876,5405323.893837639
5,car,5,0.0,678162.2253783359,5405325.322904487,678162.6869781546,5405326.545074835
5,car,6,0.0,678158.1281076221,5405328.9437845815,678158.692122722,5405330.380807088
5,car,7,0.0,678157.6723163576,5405294.34637781,678157.9146897004,5405294.734741405
5,car,8,0.0,678163.5761443239,5405297.339638781,678163.6532373622,5405297.543385062
5,car,9,0.0,678170.156234089,5405300.977944705,678170.2507832455,5405300.932422777
5,car,10,0.0,678188.5443136545,5405304.415570787,678188.4938708269,5405304.348863479
5,car,11,0.0,678168.0360983199,5405343.903963457,678168.6152357114,5405345.5617483
6,cyclist,1,0.0,678189.6660788733,5405295.821646344,678190.7996473511,5405296.446292059
6,car,2,0.0,678173.6257926634,5405310.286900583,678173.5283843239,5405310.554564105
6,car,4,0.0,678159.353581965,5405322.758451836,678159.7113001876,5405323.893837639
6,car,5,0.0,678162.2253783359,5405325.322904487,678162.6869781546,5405326.545074835
6,car,6,0.0,678158.1093508468,5405328.979782615,678158.6730629954,5405330.4177546585
6,car,7,0.0,678157.6723163576,5405294.34637781,678157.9146897004,5405294.734741405
6,car,8,0.0,678163.5761443239,5405297.339638781,678163.6117195406,5405297.510715493
6,car,9,0.0,678170.156234089,5405300.977944705,678170.2507832455,5405300.932422777
6,car,10,0.0,678188.381250359,5405304.192877905,678189.0558179166,5405304.702530088
6,car,11,0.0,678168.2387545013,5405343.478211021,678168.5524975668,5405345.939605803
7,cyclist,1,0.0,678189.6660788733,5405295.821646344,678190.7996473511,5405296.446292059
7,car,2,56.528427297800576,678173.0797068046,5405310.04707857,678173.0262254666,5405310.365742823
7,car,4,0.0,678159.353581965,5405322.758451836,678159.7113001876,5405323.893837639
7,car,5,0.8678747087556647,678162.2669469361,5405325.326580873,678162.6869781546,5405326.545074835
7,car,6,0.8767777710979272,678158.1093508468,5405328.979782615,678158.6730629954,5405330.4177546585
7,car,7,0.0,678157.6723163576,5405294.34637781,678157.9146897004,5405294.734741405
7,car,8,1.2396427881548786,678163.5761443239,5405297.339638781,678163.6117195406,5405297.510715493
7,car,9,0.0,678170.156234089,5405300.977944705,678170.2507832455,5405300.932422777
7,car,10,60.382288036006564,678188.869697252,5405304.476339387,678189.5611071575,5405304.972211596
7,car,11,32.9849759584075,678168.2683465662,5405343.8793338705,678168.4658290906,5405346.124174826
8,cyclist,1,0.0,678189.6660788733,5405295.821646344,678190.7996473511,5405296.446292059
8,car,2,54.23927535582887,678172.5996514075,5405309.8469421845,678172.5298788779,5405310.179107065
8,car,4,0.0,678159.353581965,5405322.758451836,678159.7113001876,5405323.893837639
8,car,5,0.4957455939773111,678162.2253783359,5405325.322904487,678162.6869781546,5405326.545074835
8,car,6,0.0,678158.1281076221,5405328.9437845815,678158.692122722,5405330.380807088
8,car,7,0.0,678157.6723163576,5405294.34637781,678157.9146897004,5405294.734741405
8,car,8,1.2396427881548786,678163.5761443239,5405297.339638781,678163.6117195406,5405297.510715493
8,car,9,0.0,678170.156234089,5405300.977944705,678170.2507832455,5405300.932422777
8,car,10,61.07885815806168,678189.4043143159,5405304.741881277,678190.0723755503,5405305.245084279
8,car,11,32.88242574093051,678168.1263766934,5405344.177953114,678168.3809474902,5405346.550224816
9,cyclist,1,0.0,678189.6660788733,5405295.821646344,678190.7996473511,5405296.446292059
9,car,2,54.68209563763524,678172.1623937337,5405309.705210149,678171.9818879245,5405309.944276668
