frame_id,class_id,track_id,velocity,coordinate_world_x_opt,coordinate_world_y_opt,coordinate_world_x,coordinate_world_y,bottom_plate_1_x,bottom_plate_1_y,bottom_plate_1_z,bottom_plate_2_x,bottom_plate_2_y,bottom_plate_2_z,bottom_plate_3_x,bottom_plate_3_y,bottom_plate_3_z,bottom_plate_4_x,bottom_plate_4_y,bottom_plate_4_z,score,movement_vector
2,car,1,0.0,678162.4719674317,5405321.674912702,678162.9842727104,5405323.01536183,678161.0226172449,5405324.22901721,0.0,678162.1588860997,5405318.75497334,0.0,678162.7850487638,5405324.594852065,0.0,678163.9213176187,5405319.120808194,0.0,99.9961256980896,
2,car,2,0.0,678159.4723915752,5405288.191662302,678159.5811302086,5405288.315544418,678157.6432647374,5405286.530738941,0.0,678161.9430058784,5405288.1707729995,0.0,678157.0017772721,5405288.212551604,0.0,678161.301518413,5405289.852585662,0.0,99.9805748462677,
2,car,3,0.0,678176.9152176848,5405295.060761965,678177.1016062816,5405295.280945624,678174.8717062762,5405293.153317785,0.0,678179.6979154642,5405295.326986017,0.0,678174.1325199055,5405294.794537913,0.0,678178.9587290934,5405296.968206145,0.0,99.99001026153564,
2,car,4,0.0,678146.0862475486,5405299.677436762,678146.5784900248,5405300.223820271,678144.1990747945,5405298.0004101535,0.0,678148.6108860126,5405299.671122207,0.0,678143.5616090846,5405299.683751316,0.0,678147.9734203026,5405301.35446337,0.0,99.99316930770874,
2,car,6,0.0,678161.990787221,5405328.708484877,678162.5046240953,5405330.162705553,678160.7816424997,5405331.32825268,0.0,678161.4118626842,5405325.8818153385,0.0,678162.5697117578,5405331.535154415,0.0,678163.1999319423,5405326.088717074,0.0,99.9873161315918,
2,car,8,0.0,678158.1909661759,5405291.273952429,678158.3531249372,5405291.503240172,678156.2919314414,5405289.611461591,0.0,678160.7147635195,5405291.248346208,0.0,678155.6671688324,5405291.299558651,0.0,678160.0900009105,5405292.936443267,0.0,99.96190071105957,
2,car,9,0.0,678184.3601015416,5405312.153809829,678185.0684121802,5405312.79599756,678181.6162256885,5405309.757443309,0.0,678187.9163810589,5405312.943938418,0.0,678180.8038220244,5405311.363681238,0.0,678187.1039773948,5405314.550176348,0.0,99.9377191066742,
2,car,10,0.0,678174.6640694198,5405297.971185726,678174.9896983013,5405298.1988431355,678172.9682445303,5405296.215486242,0.0,678177.1022786984,5405298.087109183,0.0,678172.2258601413,5405297.855262269,0.0,678176.3598943094,5405299.72688521,0.0,99.8816728591919,
2,car,11,0.0,678198.5495088939,5405310.063614484,678198.4475510932,5405309.972753101,678200.4628381984,5405312.265917869,0.0,678201.1582881666,5405310.625461745,0.0,678195.954394547,5405309.409829012,0.0,678196.6361795892,5405307.8613110995,0.0,99.40000772476196,
2,bicycle,12,0.0,678170.2100972207,5405283.104728181,678170.2100972207,5405283.104728181,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.87948822975159,
3,car,1,0.0,678162.4719674317,5405321.674912702,678162.9342309054,5405322.952490671,678161.0226172449,5405324.22901721,0.0,678162.1588860997,5405318.75497334,0.0,678162.7850487638,5405324.594852065,0.0,678163.9213176187,5405319.120808194,0.0,99.99614953994751,
3,car,2,0.0,678159.8234728412,5405288.326302664,678159.9602095925,5405288.4731164435,678157.9517202891,5405286.658704375,0.0,678162.3302764378,5405288.309647359,0.0,678157.3166692447,5405288.34295797,0.0,678161.6952253934,5405289.993900954,0.0,99.98277425765991,
3,car,3,0.0,678177.2464417398,5405295.19249798,678177.4825769886,5405295.430349554,678175.1704535614,5405293.276543288,0.0,678180.0581976908,5405295.465697126,0.0,678174.4346857888,5405294.919298834,0.0,678179.3224299182,5405297.108452673,0.0,99.98924732208252,
3,car,4,0.0,678145.7519081829,5405299.563712286,678146.1669041015,5405300.082381879,678143.8655939405,5405297.869783219,0.0,678148.2871306846,5405299.578677961,0.0,678143.2166856813,5405299.548746611,0.0,678147.6382224254,5405301.257641353,0.0,99.99101161956787,
3,car,6,0.0,678161.9901086154,5405328.714338347,678162.4853516495,5405330.200802699,678160.7816424997,5405331.32825268,0.0,678161.4105053762,5405325.893523115,0.0,678162.5697118546,5405331.53515358,0.0,678163.198574731,5405326.100424015,0.0,99.98728036880493,
3,car,8,0.0,678158.3886706162,5405291.342215874,678158.6294507624,5405291.60809234,678156.5692667828,5405289.693922474,0.0,678160.8434244536,5405291.306368433,0.0,678155.9339167788,5405291.3780633155,0.0,678160.2080744496,5405292.990509274,0.0,99.95915293693542,
3,car,9,0.0,678183.8881513744,5405311.984668858,678184.701186456,5405312.672233426,678181.2061313681,5405309.786459303,0.0,678187.3107824248,5405312.542300685,0.0,678180.465520324,5405311.427037031,0.0,678186.5701713806,5405314.182878413,0.0,99.96325969696045,
3,car,10,0.0,678174.9888457065,5405298.128398567,678175.3455649222,5405298.393746761,678173.247522697,5405296.372582824,0.0,678177.4592657568,5405298.238487265,0.0,678172.5184256562,5405298.018309869,0.0,678176.730168716,5405299.88421431,0.0,99.95915293693542,
3,car,11,0.0,678198.8519129255,5405310.251985364,678198.7490533825,5405310.160380313,678200.7798177998,5405312.46672373,0.0,678201.4761516858,5405310.819756649,0.0,678196.2412925771,5405309.591578266,0.0,678196.9240080513,5405308.037246997,0.0,99.63222742080688,
3,bicycle,12,0.0,678170.1664051511,5405283.084026078,678170.1664051511,5405283.084026078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.80535697937012,
