SampleTime,week,gps_tow,acc_x,acc_y,acc_z,omg_x,omg_y,omg_z,rpy_x,rpy_y,rpy_z,vel_x,vel_y,vel_z,pos_x,pos_y,alt,undulation,datsel,status
250,2144,217956.320082,-0.0828862711787,-0.067111775279,-10.7846193314,0.0275213606656,-0.0302811469883,-0.0136802121997,0.0159085076302,0.0134345246479,1.68588173389,-1.47399556637,12.3807964325,-0.0719920173287,0.199363999025,0.851282983458,420.165863037,4647,1161,46080
9090,2144,217956.330083,-0.0308452006429,-0.137983471155,-9.27563095093,0.0278416518122,-0.0252824071795,-0.0138082429767,0.0161798391491,0.0131855625659,1.68573880196,-1.47567045689,12.3791503906,-0.0675219371915,0.199364028419,0.851282981142,420.166595459,4647,1161,46080
26522,2144,217956.340083,-0.041020732373,-0.246327280998,-8.27134990692,0.0237171500921,-0.0269264820963,-0.0155022758991,0.0164201874286,0.0129217235371,1.68558144569,-1.46796548367,12.3797101974,-0.0497040078044,0.199364057812,0.851282978831,420.167205811,4647,1161,46080
29159,2144,217956.350083,0.00197088089772,-0.268152534962,-8.97798442841,0.0208198577166,-0.0272026062012,-0.016324903816,0.0166220031679,0.0126468259841,1.6854134798,-1.46678161621,12.3754796982,-0.0472281388938,0.199364087205,0.851282976528,420.167633057,4647,1161,46080
39023,2144,217956.360083,0.0611187331378,-0.125204667449,-10.873169899,0.0239649638534,-0.0149604845792,-0.01635623537,0.0168543923646,0.0124911563471,1.68524730206,-1.46802318096,12.3687324524,-0.0693142265081,0.199364116579,0.851282974224,420.168212891,4647,1161,46080
49205,2144,217956.370083,0.179292857647,-0.144876882434,-11.2017784119,0.0241657849401,-0.0160906761885,-0.0176917351782,0.017079308629,0.0123435771093,1.68508350849,-1.46560275555,12.3744649887,-0.0729053243995,0.199364146033,0.851282972552,420.173706055,4647,1161,46080
59197,2144,217956.380083,0.0922104492784,-0.296565979719,-9.38024044037,0.0231770705432,-0.0329351387918,-0.0187264028937,0.0173080023378,0.0120338229463,1.68489301205,-1.46132576466,12.384264946,-0.0488572083414,0.199364175429,0.851282970254,420.174316406,4647,1161,46080
69024,2144,217956.390083,-0.326328754425,-0.312189310789,-8.55493164063,0.0181202646345,-0.0345922224224,-0.0199535433203,0.0174893382937,0.0116848815233,1.68468642235,-1.45649433136,12.3768072128,-0.0451062247157,0.199364204827,0.851282967965,420.17477417,4647,1161,46080
79335,2144,217956.400084,-0.342334359884,-0.515710055828,-9.27972412109,0.0159215442836,-0.0228911694139,-0.0207384228706,0.0176476258785,0.0114470794797,1.68447566032,-1.44897341728,12.3656492233,-0.0561104007065,0.199364234201,0.851282965685,420.175262451,4647,1161,46080
89738,2144,217956.410083,-0.118108294904,-0.749562501907,-9.91522789001,0.00535137718543,-0.0103212641552,-0.0192964654416,0.0177083536983,0.0113412300125,1.68427920341,-1.43832790852,12.359919548,-0.0666883140802,0.199364263549,0.851282963418,420.175933838,4647,1161,46080
100275,2144,217956.420083,0.107709623873,-0.708262622356,-9.563788414,-0.00314236362465,-0.0135286701843,-0.019224030897,0.0176815167069,0.0112125966698,1.68408215046,-1.43016576767,12.362455368,-0.060911718756,0.199364292901,0.851282961169,420.176574707,4647,1161,46080
109397,2144,217956.430083,0.0238538030535,-0.311241269112,-8.77741146088,-0.00447109155357,-0.0132162449881,-0.0196452774107,0.0176241695881,0.0110815139487,1.68388867378,-1.42602348328,12.360669136,-0.0547565035522,0.199364322255,0.851282958927,420.177124023,4647,1161,46080
119176,2144,217956.440084,-0.022010942921,-0.613251805305,-9.77750110626,0.0098212454468,-0.0102158561349,-0.0218160487711,0.0177071914077,0.0109847271815,1.68366801739,-1.42781341076,12.3591384888,-0.0526911579072,0.1993643516,0.851282956684,420.17767334,4647,1161,46080
