SampleTime,week,gps_tow,acc_x,acc_y,acc_z,omg_x,omg_y,omg_z,rpy_x,rpy_y,rpy_z,vel_x,vel_y,vel_z,pos_x,pos_y,alt,undulation,datsel,status
665,2144,216986.976088,-0.321434020996,-0.398777902126,-9.73940467834,-0.0116411214694,-0.0225332584232,-0.0238901209086,0.02146660164,-0.0251585189253,-2.16795563698,-8.08362388611,-11.9418373108,0.4552308321,0.199451666013,0.851316617293,427.190002441,4646,1161,46080
10591,2144,216986.986088,-0.499999850988,-0.668520152569,-9.85534191132,-0.00487142009661,-0.022227441892,-0.0223766919225,0.0214187353849,-0.0253807436675,-2.16818833351,-8.07956218719,-11.9390726089,0.448643177748,0.199451637657,0.851316604611,427.185455322,4646,1161,46080
20462,2144,216986.996087,-0.249609872699,-0.461043208838,-9.28953838348,-0.00792837049812,-0.0162680838257,-0.0242536962032,0.0213513430208,-0.025540297851,-2.16843008995,-8.08881855011,-11.9308233261,0.450384825468,0.199451609319,0.851316591926,427.180999756,4646,1161,46080
30494,2144,216987.006087,-0.280229717493,-0.52793520689,-8.80390834808,-0.0164963956922,-0.0186215471476,-0.025144347921,0.021197758615,-0.0257176551968,-2.1686861515,-8.09550952911,-11.9276237488,0.464690506458,0.199451580993,0.851316579228,427.176422119,4646,1161,46080
40641,2144,216987.016088,-0.226691797376,-0.685569226742,-9.37208843231,-0.0147572206333,-0.0251910574734,-0.0257392730564,0.0210468098521,-0.0259587094188,-2.16894960403,-8.09745788574,-11.9303178787,0.478424817324,0.199451552667,0.85131656652,427.171691895,4646,1161,46080
50645,2144,216987.026087,-0.366764456034,-0.350631296635,-11.0261459351,-0.00689121335745,-0.0250964649022,-0.0239383168519,0.0209790673107,-0.0262056384236,-2.16919493675,-8.09541702271,-11.9300804138,0.466321289539,0.199451524336,0.851316553818,427.16696167,4646,1161,46080
60652,2144,216987.036086,-0.348692268133,-0.586974799633,-11.1010608673,-0.00550918793306,-0.0259828567505,-0.0244901739061,0.020926637575,-0.0264612641186,-2.16944622993,-8.09680271149,-11.9281644821,0.451304376125,0.199451496008,0.851316541113,427.162353516,4646,1161,46080
70566,2144,216987.046086,-0.337632805109,-0.539701044559,-9.45215702057,-0.0132625196129,-0.0312319304794,-0.024423642084,0.0208092071116,-0.0267588626593,-2.16969561577,-8.10802173615,-11.9252004623,0.466172903776,0.199451467686,0.851316528398,427.157775879,4646,1161,46080
80186,2144,216987.056086,-0.306062787771,-0.582463920116,-8.42514705658,-0.0148354843259,-0.0290225092322,-0.025802180171,0.0206632781774,-0.0270476210862,-2.16996002197,-8.10911273956,-11.9208669662,0.474274665117,0.199451439378,0.851316515674,427.153137207,4646,1161,46080
93643,2144,216987.066087,-0.299885839224,-0.420199602842,-9.15150737762,-0.0132771795616,-0.0325264818966,-0.0276454631239,0.0205337610096,-0.0273674577475,-2.17024254799,-8.1109752655,-11.919043541,0.482313603163,0.199451411074,0.851316502944,427.14831543,4646,1161,46080
