SampleTime,week,gps_tow,acc_x,acc_y,acc_z,omg_x,omg_y,omg_z,rpy_x,rpy_y,rpy_z,vel_x,vel_y,vel_z,pos_x,pos_y,alt,undulation,datsel,status
169,2144,218646.793084,0.305053055286,-0.868935883045,-10.2308197021,0.00307928328402,0.0338873416185,-0.0397321842611,0.0361137501895,0.0130245853215,1.56388986111,0.0745922401547,12.5212640762,-0.00651470944285,0.199371546798,0.851282650241,420.210540771,4647,1161,46080
12561,2144,218646.803084,0.392276287079,-0.867810726166,-10.9436597824,0.00513910315931,0.0331482291222,-0.0362519994378,0.0361595675349,0.0133761130273,1.56353437901,0.0732549354434,12.5270528793,-0.00965811032802,0.199371576534,0.851282650355,420.210632324,4647,1161,46080
20099,2144,218646.813085,0.324210256338,-0.902150154114,-10.7768754959,0.000515140127391,0.0291624795645,-0.0380816422403,0.0361617617309,0.0136809116229,1.56316769123,0.0856244266033,12.5283994675,-0.0210344679654,0.199371606281,0.851282650482,420.210784912,4647,1161,46080
30160,2144,218646.823085,0.308056622744,-1.0699608326,-10.335688591,-0.00487862946466,0.0247466266155,-0.0370829217136,0.0361139774323,0.013950869441,1.56280350685,0.0940584018826,12.5347118378,-0.0150212738663,0.199371636037,0.851282650622,420.210968018,4647,1161,46080
40144,2144,218646.833085,0.355496644974,-1.31122934818,-11.403424263,-0.00705922255293,0.0189503561705,-0.0365331098437,0.0360358804464,0.0141580365598,1.5624448061,0.102443680167,12.538942337,-0.0246833898127,0.199371665805,0.851282650776,420.211120605,4647,1161,46080
50222,2144,218646.843086,0.172505781054,-1.40161478519,-12.4134864807,-0.0163402892649,0.00835297908634,-0.0342220775783,0.0358776971698,0.0142698530108,1.56210517883,0.117809720337,12.547577858,-0.0302168037742,0.199371695589,0.851282650948,420.211395264,4647,1161,46080
60420,2144,218646.853086,0.168258339167,-1.39058244228,-12.0519742966,-0.0226621013135,0.000206193231861,-0.0330018475652,0.0356516242027,0.0142878592014,1.56177246571,0.128309383988,12.5495157242,-0.0486594103277,0.199371725385,0.851282651139,420.211791992,4647,1161,46080
70654,2144,218646.863085,0.293255239725,-1.5285538435,-11.4843873978,-0.031703595072,-0.0023554826621,-0.0299851596355,0.0353289172053,0.0142803527415,1.56146776676,0.135293483734,12.5530309677,-0.0602110289037,0.199371755185,0.851282651348,420.212341309,4647,1161,46080
80478,2144,218646.873085,0.38706445694,-1.25891494751,-10.976770401,-0.0356492549181,-0.0122263012454,-0.0287521835417,0.0349772982299,0.0141839720309,1.56117749214,0.152182072401,12.5634708405,-0.0537337325513,0.199371785002,0.851282651574,420.21295166,4647,1161,46080
90415,2144,218646.883085,0.21711742878,-1.20706069469,-10.1407575607,-0.0389650538564,-0.021176321432,-0.0282528549433,0.0345780402422,0.0139810461551,1.56088674068,0.158265709877,12.5635519028,-0.0593743994832,0.199371814836,0.851282651817,420.213500977,4647,1161,46080
100274,2144,218646.893085,0.192809209228,-1.21331655979,-10.3948850632,-0.0416557788849,-0.0191378127784,-0.0271679703146,0.0341631136835,0.0138012031093,1.56060683727,0.168948560953,12.5646648407,-0.0630197972059,0.199371844668,0.851282652073,420.214111328,4647,1161,46080
110570,2144,218646.903087,0.314017385244,-1.01256978512,-11.2818040848,-0.0485689230263,-0.0238029751927,-0.0274669956416,0.0336759872735,0.0135827939957,1.56032478809,0.179064258933,12.5710163116,-0.065556794405,0.199371874508,0.851282652348,420.214752197,4647,1161,46080
120201,2144,218646.913087,0.187700793147,-0.910439014435,-11.1158103943,-0.0480383373797,-0.0306970980018,-0.0263466294855,0.0331832841039,0.0132854757831,1.56005132198,0.181540772319,12.5719108582,-0.0786593109369,0.199371904361,0.851282652631,420.215454102,4647,1161,46080
