SampleTime,week,gps_tow,acc_x,acc_y,acc_z,omg_x,omg_y,omg_z,rpy_x,rpy_y,rpy_z,vel_x,vel_y,vel_z,pos_x,pos_y,alt,undulation,datsel,status
216,2144,218877.974183,0.24487863481,0.0664433464408,-10.0048313141,-0.00219272775576,0.00983132328838,-0.00535132922232,-0.00517685431987,-0.0292118694633,-2.56380224228,-3.00897049904,-1.95642256737,0.162664145231,0.199434999197,0.851305279042,423.670440674,4646,1161,46080
9138,2144,218877.984183,0.301269203424,0.0204256922007,-9.78817749023,-0.00175066909287,0.0135019272566,-0.00602689757943,-0.00520102865994,-0.0290830470622,-2.56386303902,-3.01014375687,-1.96016573906,0.155207663774,0.199434994544,0.851305274321,423.66885376,4646,1161,46080
19423,2144,218877.994183,0.282382458448,0.0699394643307,-9.90207195282,-0.00214982591569,0.0157082621008,-0.00630946038291,-0.00521949632093,-0.0289253648371,-2.5639269352,-3.01613974571,-1.96180868149,0.155785813928,0.199434989887,0.851305269594,423.667327881,4646,1161,46080
29153,2144,218878.004182,0.390479832888,-0.0197136383504,-10.170211792,-0.00231715617701,0.0111145917326,-0.00698886206374,-0.00524084735662,-0.028809947893,-2.56399798393,-3.02458691597,-1.9658601284,0.159163698554,0.199434985221,0.851305264854,423.665740967,4646,1161,46080
39193,2144,218878.014182,0.336753755808,0.0877352878451,-10.1909427643,-0.00415361160412,0.00814514886588,-0.0067738564685,-0.00528370402753,-0.028727222234,-2.56406712532,-3.0299680233,-1.97085225582,0.158013060689,0.199434980547,0.851305260103,423.664154053,4646,1161,46080
54718,2144,218878.024183,0.409481436014,-0.0335441157222,-10.1999540329,-0.00372714153491,0.00865044724196,-0.00743717467412,-0.00532106030732,-0.0286409836262,-2.56414055824,-3.03721237183,-1.97232496738,0.15428519249,0.199434975866,0.851305255343,423.662597656,4646,1161,46080
59717,2144,218878.034184,0.434384793043,-0.0259338859469,-10.2460813522,-0.00263237929903,0.00877585820854,-0.00667814491317,-0.00534625304863,-0.0285534206778,-2.56421113014,-3.04184889793,-1.97860050201,0.150324955583,0.199434971175,0.851305250574,423.661102295,4646,1161,46080
69332,2144,218878.044183,0.597166538239,-0.0341419689357,-10.2027816772,-0.00686605880037,0.0079503711313,-0.00717997876927,-0.00541145028546,-0.0284751653671,-2.56428146362,-3.05225372314,-1.9782012701,0.146326884627,0.199434966479,0.851305245792,423.659606934,4646,1161,46080
79038,2144,218878.054184,0.597481310368,0.02603206411,-10.3477220535,-0.00565634248778,0.00387886771932,-0.00768572930247,-0.00546906841919,-0.0284298378974,-2.56436014175,-3.06162214279,-1.98641371727,0.150444865227,0.199434961773,0.851305240994,423.658111572,4646,1161,46080
89029,2144,218878.064183,0.558254659176,0.0669643878937,-10.5896186829,-0.00147300714161,-0.00286397291347,-0.00735841318965,-0.00549122551456,-0.0284528210759,-2.56443309784,-3.06987404823,-1.99577009678,0.151701465249,0.199434957045,0.851305236183,423.656585693,4646,1161,46080
99250,2144,218878.074183,0.484023958445,0.0904189869761,-10.3720970154,-0.000320813123835,-0.00265972292982,-0.00839548837394,-0.00549240037799,-0.0284840650856,-2.56451630592,-3.07560825348,-1.99722909927,0.140238255262,0.199434952306,0.851305231359,423.655151367,4646,1161,46080
109039,2144,218878.084182,0.637140870094,0.0695908740163,-9.54707336426,0.00428706640378,0.0012729249429,-0.0074968659319,-0.00545534910634,-0.0284767374396,-2.56459379196,-3.07771682739,-2.00577831268,0.135486468673,0.199434947553,0.851305226531,423.653778076,4646,1161,46080
119036,2144,218878.09418,1.01054859161,0.100743174553,-9.0350894928,0.00612376630306,0.00552562763914,-0.00778212863952,-0.00539356237277,-0.0284235738218,-2.56467008591,-3.0882973671,-2.01010608673,0.140875130892,0.199434942786,0.851305221694,423.652404785,4646,1161,46080
129023,2144,218878.104181,1.49750840664,0.0800238847733,-9.27489757538,0.00883066747338,0.00373836606741,-0.00780239794403,-0.00530673377216,-0.0283842161298,-2.56474900246,-3.10258460045,-2.02166676521,0.150447681546,0.199434937996,0.851305216838,423.650939941,4646,1161,46080
139011,2144,218878.11418,1.93794560432,0.145848169923,-9.76477718353,0.00789783522487,0.00335995969363,-0.00722707435489,-0.00522726168856,-0.0283522717655,-2.5648226738,-3.11956810951,-2.03476190567,0.150698065758,0.199434933179,0.851305211956,423.649414063,4646,1161,46080
149323,2144,218878.124181,2.22394299507,0.257716089487,-10.0011281967,0.00463334610686,0.00316376285627,-0.00779741257429,-0.00517632765695,-0.0283190663904,-2.56489992142,-3.14241290092,-2.04688072205,0.152282461524,0.199434928332,0.851305207043,423.647888184,4646,1161,46080
