SampleTime,week,gps_tow,acc_x,acc_y,acc_z,omg_x,omg_y,omg_z,rpy_x,rpy_y,rpy_z,vel_x,vel_y,vel_z,pos_x,pos_y,alt,undulation,datsel,status
188,2144,216358.853816,-0.572595655918,-0.738793075085,-9.34256458282,0.00843596551567,-0.0016527880216,-0.0530699305236,-0.0272848568857,-0.0285342633724,-2.4674808979,-12.2867994308,-9.81701278687,0.555429816246,0.199440028856,0.851308926279,424.824676514,4646,1161,46080
9776,2144,216358.863818,-0.69256478548,-0.702890574932,-9.79420375824,0.00118379795458,-0.00597405759618,-0.0531085990369,-0.0272548682988,-0.0286089163274,-2.46801161766,-12.2912244797,-9.80531311035,0.556929945946,0.199440005557,0.851308906991,424.819061279,4646,1161,46080
19711,2144,216358.873819,-0.659403443336,-0.307783186436,-8.84449958801,-0.000778613321017,0.00567794311792,-0.0532058253884,-0.0272443369031,-0.0285799000412,-2.46854424477,-12.2892608643,-9.79036998749,0.547639489174,0.199439982289,0.851308887705,424.813568115,4646,1161,46080
31883,2144,216358.88382,-0.684863507748,-0.48764872551,-8.10678386688,-0.00129412207752,0.00869278982282,-0.0554272048175,-0.027250405401,-0.0285098031163,-2.46910023689,-12.2878646851,-9.78367900848,0.562699377537,0.199439959049,0.851308868418,424.807983398,4646,1161,46080
39809,2144,216358.89382,-0.477532923222,-0.408160418272,-9.01248455048,0.000581927190069,0.00716869998723,-0.0562647655606,-0.0272297542542,-0.0284449029714,-2.46966481209,-12.2938127518,-9.77849388123,0.583248496056,0.199439935828,0.851308849129,424.802246094,4646,1161,46080
49598,2144,216358.903819,-0.391334027052,-0.61734110117,-10.6970405579,0.00375338317826,0.00603933027014,-0.054575201124,-0.0271817427129,-0.0284023284912,-2.47021460533,-12.2943983078,-9.77418327332,0.572539329529,0.199439912613,0.851308829837,424.796478271,4646,1161,46080
59819,2144,216358.91382,-0.404180914164,-0.711985528469,-11.1605062485,0.00700394669548,0.000390046130633,-0.0513715259731,-0.0270999912173,-0.0284011084586,-2.47073125839,-12.3025140762,-9.7721862793,0.573612034321,0.199439889404,0.851308810539,424.790771484,4646,1161,46080
69745,2144,216358.92382,-0.69231069088,-0.717612743378,-9.49265193939,0.00487583456561,-0.00844402518123,-0.0513982065022,-0.0270338729024,-0.0285042468458,-2.47124385834,-12.3055124283,-9.75965690613,0.571740269661,0.199439866208,0.851308791228,424.785003662,4646,1161,46080
79834,2144,216358.93382,-0.77653503418,-0.511673688889,-9.27808856964,-0.00437910715118,0.00489769456908,-0.0521465502679,-0.0270571410656,-0.0284757185727,-2.47176647186,-12.3064699173,-9.74400043488,0.568661391735,0.199439843058,0.851308771916,424.779327393,4646,1161,46080
89772,2144,216358.94382,-0.65262979269,-0.545788288116,-10.2925128937,-0.00306078139693,-0.000736839021556,-0.0533167980611,-0.0270785633475,-0.0284879747778,-2.47229957581,-12.3117074966,-9.73938846588,0.577540814877,0.199439819928,0.851308752599,424.773590088,4646,1161,46080
99725,2144,216358.953819,-0.608147442341,-0.525954902172,-10.076590538,-0.00203026621602,-0.00759157538414,-0.0534114539623,-0.027083856985,-0.0285800099373,-2.47283101082,-12.3146781921,-9.72979831696,0.573954105377,0.199439796811,0.851308733274,424.767822266,4646,1161,46080
110882,2144,216358.96382,-0.637301266193,-0.657718896866,-10.3165988922,-0.0115066645667,-0.00435284385458,-0.0538605861366,-0.0271746385843,-0.0286364257336,-2.47336912155,-12.3221483231,-9.71582126617,0.57217335701,0.199439773727,0.851308713941,424.762084961,4646,1161,46080
119665,2144,216358.973821,-0.490689009428,-0.758382499218,-10.343132019,-0.0146261705086,-0.0111216679215,-0.0536939911544,-0.0273026544601,-0.0287546310574,-2.47390508652,-12.3300237656,-9.70909309387,0.57756716013,0.199439750664,0.851308694598,424.756347656,4646,1161,46080
129845,2144,216358.983821,-0.608555734158,-0.883660018444,-9.57867145538,-0.0109300538898,-0.0082828765735,-0.0511043444276,-0.0274085812271,-0.0288651157171,-2.4744155407,-12.3254451752,-9.69944000244,0.561634242535,0.199439727616,0.851308675252,424.750640869,4646,1161,46080
139569,2144,216358.993821,-0.601325809956,-0.706988632679,-9.55410289764,-0.00934250559658,-0.00215534656309,-0.0506697371602,-0.0274877250195,-0.0288964193314,-2.47492313385,-12.3296165466,-9.69139957428,0.569470465183,0.199439704597,0.851308655906,424.744995117,4646,1161,46080
150769,2144,216359.00382,-0.745315730572,-0.382773131132,-9.6679353714,-0.00617816252634,-0.0112379258499,-0.0507347583771,-0.0275405757129,-0.0290169119835,-2.47542572021,-12.3332681656,-9.68512153625,0.579776406288,0.199439681587,0.851308636554,424.739227295,4646,1161,46080
159506,2144,216359.013819,-0.690859258175,-0.537586033344,-9.50759506226,-0.00100121099968,-0.00975776091218,-0.0514367595315,-0.0275489464402,-0.0291342064738,-2.47593832016,-12.328789711,-9.67960548401,0.575478374958,0.199439658596,0.851308617201,424.733428955,4646,1161,46080
169575,2144,216359.023819,-0.572875440121,-0.485276430845,-9.68956756592,-0.00425743265077,-0.00698675913736,-0.051284737885,-0.0275682285428,-0.0292139463127,-2.47644901276,-12.336730957,-9.66776371002,0.582863092422,0.199439635628,0.851308597848,424.727661133,4646,1161,46080
179762,2144,216359.03382,-0.655194222927,-0.564069271088,-9.90866947174,-0.00857514701784,-0.00644903024659,-0.0519681461155,-0.0276375692338,-0.0293020810932,-2.47696733475,-12.3363428116,-9.65505886078,0.571272194386,0.199439612687,0.851308578487,424.721893311,4646,1161,46080
189895,2144,216359.04382,-0.584320247173,-0.687459468842,-10.6238126755,-0.0103725101799,-0.00421952735633,-0.0504329018295,-0.027733957395,-0.0293579790741,-2.4774723053,-12.3378858566,-9.64957618713,0.564627230167,0.199439589768,0.851308559124,424.716186523,4646,1161,46080
