frame_id,class_id,track_id,coordinate_world_x,coordinate_world_y
13,car,11,678199.244893831,5405318.922417083
13,truck,12,678191.6222310001,5405327.136280015
13,car,13,678198.0717148115,5405322.138571218
13,car-transporter,14,678174.5248109462,5405330.605903426
14,car,1,678194.4672006874,5405316.78696655
14,car,2,678161.9488621831,5405327.629032277
14,car,3,678148.0129593227,5405287.657959739
14,car,4,678148.7355633338,5405284.218244007
14,car,5,678192.248768887,5405320.096043369
14,car,6,678160.6553138462,5405336.3218025435
14,car,7,678158.6455238534,5405326.21449196
14,car,8,678165.3056863947,5405346.36947618
14,cyclist,9,678147.9845775799,5405309.24619454
14,car,10,678161.8907610152,5405346.277316157
14,car,11,678199.244893831,5405318.922417083
14,truck,12,678192.133712485,5405325.361115197
14,car,13,678198.0717148115,5405322.138571218
14,car-transporter,14,678174.394768867,5405330.761625905
15,car,1,678194.4672006874,5405316.78696655
15,car,2,678161.9488621831,5405327.629032277
15,car,3,678148.0238508224,5405287.648738045
15,car,4,678148.7355633338,5405284.218244007
15,car,5,678192.248768887,5405320.096043369
15,car,6,678160.6553138462,5405336.3218025435
15,car,7,678158.6455238534,5405326.21449196
15,car,8,678165.274561524,5405346.918485137
15,cyclist,9,678148.0509069706,5405309.264500838
15,car,10,678161.8907610152,5405346.277316157
15,car,11,678199.244893831,5405318.922417083
15,truck,12,678192.133712485,5405325.361115197
15,car,13,678198.0717148115,5405322.138571218
15,car-transporter,14,678174.2900240233,5405330.744400729
16,car,1,678194.4672006874,5405316.78696655
16,car,2,678161.9488621831,5405327.629032277
16,car,3,678148.0238508224,5405287.648738045
16,car,4,678148.7355633338,5405284.218244007
16,car,5,678192.248768887,5405320.096043369
16,car,6,678160.6553138462,5405336.3218025435
16,car,7,678158.6455238534,5405326.21449196
16,car,8,678165.2267566768,5405347.373709757
16,cyclist,9,678148.0814416994,5405309.257060649
16,car,10,678161.8907610152,5405346.277316157
16,car,11,678199.244893831,5405318.922417083
16,truck,12,678192.133712485,5405325.361115197
16,car,13,678198.0717148115,5405322.138571218
